iter	TotalF1	MultiClass
0	0.5335536929	1.313535729
1	0.5744239392	1.245475599
2	0.5554035741	1.201649853
3	0.5657054268	1.159176041
4	0.5606303187	1.125342469
5	0.5736552958	1.092839714
6	0.5828804814	1.062717808
7	0.5870047328	1.0371374
8	0.6019548793	1.012589109
9	0.6090744776	0.9907889293
10	0.6158269884	0.9748282584
11	0.6176868315	0.9572007426
12	0.6265988074	0.9395936074
13	0.6313406148	0.9235520309
14	0.6371488814	0.9087850608
15	0.6430786974	0.894857601
16	0.6475520405	0.8824550224
17	0.6528849257	0.8713280703
18	0.6550335722	0.8630476631
19	0.6587778686	0.8545147642
20	0.6632778113	0.8441494573
21	0.6706922393	0.8345957325
22	0.6717570102	0.8277443996
23	0.6763407252	0.8223271653
24	0.6773487904	0.8170883312
25	0.6785442322	0.8094722847
26	0.6809985808	0.8024273221
27	0.6821467226	0.7963211759
28	0.6864456206	0.7878338825
29	0.6859350432	0.7844480612
30	0.6847345512	0.7799634979
31	0.6914282711	0.7731772757
32	0.6920135187	0.7686299551
33	0.6970578903	0.7636189857
34	0.6957603132	0.7592317193
35	0.699750068	0.7534789112
36	0.7013127918	0.7486259762
37	0.705063415	0.7431536543
38	0.7069569487	0.738862727
39	0.7108336613	0.7337581157
40	0.7136912966	0.7292953607
41	0.7162038685	0.7227518912
42	0.7178740973	0.719732747
43	0.7195889045	0.7157631241
44	0.720899141	0.7123238641
45	0.7217160774	0.70984994
46	0.7216821269	0.7065071844
47	0.7221450212	0.7040929336
48	0.7231617974	0.7018264259
49	0.725065138	0.6993276746
50	0.7257967791	0.6960717099
51	0.7271344707	0.6937664918
52	0.7301389352	0.6900648123
53	0.7313201377	0.6867326291
54	0.7329727466	0.6839022153
55	0.7320339334	0.6808041123
56	0.7338158659	0.6788665175
57	0.7356044329	0.675850567
58	0.7372827706	0.6734235575
59	0.7381437812	0.6700632437
60	0.7393861617	0.6670710251
61	0.7412505379	0.6648540787
62	0.7422309583	0.6602478833
63	0.7432798129	0.6564082435
64	0.7445972362	0.65490556
65	0.746085145	0.6526208512
66	0.7479210604	0.65039237
67	0.74789017	0.648457681
68	0.748450485	0.6464469809
69	0.7494401728	0.6442240548
70	0.7495559742	0.6409377495
71	0.750113519	0.6394528222
72	0.7525619739	0.6369177356
73	0.7529228347	0.6348844242
74	0.7550248123	0.6325745264
75	0.7548356269	0.6304856666
76	0.7549653858	0.6282570968
77	0.7562234543	0.6266331849
78	0.7569261286	0.6247380347
79	0.7577582038	0.6230698703
80	0.7569503801	0.620896956
81	0.7575048776	0.6187698303
82	0.7593527585	0.6168628557
83	0.7608047638	0.614919864
84	0.7622309386	0.612699833
85	0.763941914	0.6107977193
86	0.765197012	0.6091611847
87	0.7656716036	0.6076991585
88	0.7681466282	0.6056358251
89	0.7686473622	0.6038464691
90	0.7686194135	0.6025662341
91	0.768958004	0.6008851479
92	0.7694838029	0.5991211758
93	0.7694982088	0.5976008222
94	0.7717929466	0.5960959228
95	0.7721026651	0.5948252711
96	0.772682543	0.593679321
97	0.774621664	0.5916368419
98	0.7749733901	0.5895004394
99	0.7773538462	0.5875555547
100	0.7773368505	0.5860925184
101	0.778868885	0.5836903879
102	0.7788957873	0.5827067277
103	0.7806379604	0.5803357733
104	0.7809783991	0.5790544015
105	0.7809374802	0.5782059736
106	0.7821873291	0.5762517341
107	0.7837315805	0.5750425877
108	0.7846613363	0.5735147741
109	0.7844904312	0.5720336304
110	0.7845875903	0.5707702698
111	0.7859725163	0.5695471169
112	0.7864641825	0.5681392496
113	0.7872911221	0.5667731514
114	0.7877134156	0.5657986196
115	0.7892217614	0.5647042008
116	0.790285026	0.5636306343
117	0.7907406733	0.5615065353
118	0.7912205449	0.5599658426
119	0.7918349135	0.5591487427
120	0.7911561438	0.5574290165
121	0.7913377996	0.5562681315
122	0.7915837081	0.5552918562
123	0.7919916139	0.5540512021
124	0.793639556	0.5526672899
125	0.7943455396	0.5511931048
126	0.7951480334	0.5489246892
127	0.796392611	0.546128653
128	0.7977611669	0.5445762165
129	0.7989448825	0.5431967911
130	0.7989697617	0.5416386901
131	0.7997527323	0.5402741267
132	0.8014648561	0.5386097325
133	0.8012866354	0.5373729399
134	0.8023990677	0.5360849112
135	0.803976784	0.5346257406
136	0.805153061	0.5338390067
137	0.8059261026	0.5326020071
138	0.8065243304	0.530837062
139	0.8072384811	0.5299033561
140	0.8078666203	0.5288441538
141	0.8086803536	0.5278937515
142	0.8094201174	0.5270134044
143	0.8103658558	0.5254211954
144	0.8117217232	0.5240224226
145	0.8119887541	0.5230797337
146	0.8133120492	0.5219144078
147	0.8134045851	0.5211212366
