iter	Passed	Remaining
0	6	4910
1	12	4829
2	18	4993
3	24	4870
4	31	4896
5	37	4954
6	43	4920
7	50	4948
8	56	4927
9	61	4858
10	67	4835
11	73	4770
12	78	4739
13	85	4740
14	90	4718
15	96	4690
16	102	4681
17	109	4708
18	115	4704
19	121	4709
20	128	4724
21	134	4736
22	142	4787
23	149	4793
24	155	4782
25	161	4758
26	167	4758
27	173	4753
28	179	4747
29	185	4735
30	192	4727
31	198	4719
32	203	4702
33	210	4702
34	216	4699
35	223	4701
36	229	4697
37	235	4691
38	241	4683
39	248	4688
40	254	4670
41	261	4673
42	266	4650
43	271	4631
44	278	4630
45	283	4611
46	289	4598
47	295	4591
48	301	4576
49	306	4557
50	311	4544
51	317	4530
52	322	4512
53	328	4504
54	334	4490
55	339	4478
56	344	4459
57	351	4460
58	357	4457
59	364	4455
60	369	4440
61	374	4426
62	380	4418
63	386	4410
64	392	4402
65	398	4398
66	404	4387
67	410	4382
68	416	4379
69	422	4372
70	428	4364
71	434	4357
72	440	4354
73	446	4348
74	452	4337
75	457	4325
76	463	4314
77	469	4307
78	474	4297
79	480	4289
80	486	4281
81	492	4273
82	497	4261
83	503	4256
84	508	4243
85	514	4236
86	520	4228
87	526	4220
88	531	4213
89	538	4208
90	543	4199
91	550	4198
92	556	4196
93	562	4189
94	568	4186
95	574	4178
96	580	4169
97	586	4163
98	592	4160
99	598	4151
100	603	4141
101	609	4138
102	615	4127
103	620	4118
104	626	4109
105	631	4098
106	636	4088
107	642	4078
108	647	4069
109	653	4060
110	658	4050
111	663	4040
112	668	4031
113	674	4023
114	679	4014
115	685	4007
116	691	4000
117	696	3991
118	701	3981
119	707	3973
120	712	3964
121	717	3954
122	723	3947
123	729	3942
124	734	3931
125	740	3923
126	745	3915
127	750	3906
128	756	3898
129	761	3890
130	767	3882
131	772	3874
132	778	3868
133	783	3858
134	789	3852
135	795	3847
136	800	3838
137	806	3831
138	811	3825
139	817	3817
140	822	3811
141	828	3803
142	834	3798
143	840	3792
144	845	3782
145	850	3774
146	855	3765
147	860	3757
148	866	3750
149	872	3744
150	877	3736
151	883	3730
152	888	3723
153	893	3714
154	899	3706
155	904	3699
156	909	3692
157	915	3687
158	921	3680
159	926	3673
160	932	3666
161	938	3660
162	943	3653
163	949	3647
164	957	3650
165	963	3645
166	969	3639
167	974	3631
168	979	3623
169	985	3616
170	990	3610
171	996	3602
172	1002	3597
173	1008	3592
174	1013	3584
175	1019	3578
176	1025	3573
177	1031	3569
178	1036	3561
179	1043	3558
180	1048	3552
181	1053	3543
182	1059	3537
183	1065	3531
184	1071	3526
185	1076	3519
186	1082	3512
187	1087	3505
188	1092	3498
189	1098	3493
190	1104	3486
191	1110	3481
192	1115	3473
193	1120	3466
194	1126	3460
195	1132	3454
196	1137	3446
197	1143	3442
198	1149	3437
199	1155	3430
200	1161	3427
201	1166	3419
202	1172	3413
203	1177	3406
204	1183	3400
205	1189	3394
206	1194	3387
207	1200	3381
208	1205	3375
209	1211	3368
210	1217	3363
211	1222	3355
212	1227	3348
213	1233	3344
214	1240	3341
215	1246	3334
216	1251	3328
217	1257	3322
218	1263	3316
219	1268	3310
220	1274	3303
221	1279	3297
222	1285	3292
223	1291	3286
224	1296	3279
225	1302	3273
226	1308	3267
227	1313	3261
228	1319	3254
229	1324	3249
230	1331	3244
231	1337	3239
232	1343	3234
233	1348	3227
234	1355	3223
235	1360	3217
236	1366	3211
237	1373	3207
238	1379	3202
239	1384	3196
240	1391	3192
241	1397	3187
242	1403	3181
243	1408	3175
244	1414	3169
245	1420	3163
246	1426	3158
247	1431	3151
248	1437	3145
249	1442	3139
250	1448	3133
251	1454	3129
252	1460	3124
253	1466	3117
254	1472	3111
255	1478	3106
256	1483	3099
257	1488	3092
258	1494	3087
259	1499	3080
260	1505	3074
261	1512	3071
262	1518	3065
263	1524	3059
264	1529	3053
265	1535	3047
266	1540	3040
267	1545	3034
268	1551	3028
269	1556	3021
270	1562	3015
271	1567	3009
272	1573	3003
273	1579	2997
274	1585	2992
275	1591	2986
276	1597	2981
277	1602	2975
278	1608	2969
279	1614	2963
280	1620	2957
281	1625	2951
282	1631	2946
283	1637	2940
284	1642	2934
285	1649	2929
286	1654	2923
287	1661	2918
288	1667	2913
289	1672	2906
290	1678	2900
291	1684	2895
292	1689	2888
293	1695	2883
294	1701	2877
295	1707	2872
296	1712	2866
297	1718	2860
298	1724	2854
299	1730	2849
300	1736	2843
301	1741	2837
302	1747	2832
303	1753	2825
304	1758	2819
305	1763	2812
306	1769	2806
307	1774	2800
308	1780	2794
309	1786	2789
310	1792	2783
311	1797	2777
312	1802	2770
313	1808	2764
314	1814	2759
315	1820	2753
316	1825	2747
317	1831	2741
318	1836	2734
319	1841	2728
320	1847	2722
321	1852	2715
322	1858	2709
323	1863	2703
324	1868	2696
325	1874	2690
326	1880	2685
327	1885	2679
328	1891	2673
329	1897	2667
330	1902	2661
331	1908	2655
332	1914	2649
333	1919	2643
334	1925	2638
335	1931	2632
336	1937	2627
337	1943	2622
338	1953	2621
339	1958	2615
340	1964	2609
341	1969	2603
342	1975	2597
343	1980	2590
344	1986	2585
345	1992	2579
346	1998	2574
347	2003	2567
348	2009	2562
349	2015	2557
350	2021	2551
351	2026	2545
352	2033	2540
353	2039	2535
354	2044	2528
355	2050	2522
356	2055	2516
357	2061	2510
358	2067	2505
359	2073	2499
360	2078	2493
361	2083	2486
362	2089	2481
363	2095	2475
364	2101	2469
365	2106	2463
366	2111	2457
367	2117	2450
368	2122	2445
369	2128	2439
370	2134	2433
371	2140	2428
372	2146	2422
373	2151	2415
374	2156	2409
375	2161	2403
376	2167	2397
377	2173	2391
378	2178	2385
379	2183	2379
380	2189	2373
381	2195	2368
382	2201	2362
383	2206	2355
384	2211	2349
385	2217	2343
386	2223	2337
387	2228	2332
388	2235	2327
389	2241	2322
390	2248	2317
391	2254	2312
392	2261	2307
393	2267	2301
394	2273	2296
395	2279	2291
396	2285	2285
397	2292	2280
398	2297	2274
399	2305	2270
400	2312	2266
401	2318	2260
402	2325	2256
403	2332	2251
404	2339	2246
405	2345	2241
406	2351	2235
407	2357	2230
408	2363	2225
409	2369	2219
410	2375	2213
411	2381	2208
412	2387	2202
413	2393	2196
414	2399	2191
415	2405	2185
416	2411	2180
417	2417	2174
418	2422	2168
419	2429	2162
420	2434	2157
421	2441	2151
422	2446	2146
423	2452	2140
424	2458	2134
425	2464	2128
426	2469	2122
427	2475	2116
428	2481	2111
429	2487	2105
430	2493	2100
431	2500	2095
432	2506	2089
433	2511	2083
434	2517	2077
435	2523	2071
436	2528	2065
437	2535	2060
438	2541	2054
439	2547	2049
440	2553	2043
441	2558	2037
442	2564	2031
443	2570	2025
444	2575	2020
445	2581	2014
446	2587	2008
447	2593	2003
448	2599	1997
449	2604	1991
450	2610	1985
451	2616	1979
452	2621	1973
453	2627	1967
454	2632	1961
455	2637	1955
456	2643	1949
457	2649	1943
458	2655	1938
459	2661	1932
460	2667	1926
461	2672	1920
462	2678	1914
463	2683	1908
464	2689	1902
465	2694	1896
466	2700	1890
467	2706	1885
468	2712	1879
469	2718	1873
470	2723	1867
471	2729	1862
472	2734	1855
473	2740	1849
474	2746	1844
475	2751	1838
476	2757	1832
477	2762	1826
478	2767	1820
479	2773	1814
480	2779	1808
481	2784	1802
482	2790	1796
483	2796	1791
484	2801	1785
485	2807	1779
486	2813	1773
487	2818	1767
488	2824	1761
489	2830	1756
490	2836	1750
491	2842	1744
492	2848	1738
493	2853	1733
494	2859	1727
495	2864	1721
496	2870	1715
497	2875	1709
498	2881	1703
499	2887	1697
500	2893	1691
501	2898	1685
502	2904	1680
503	2909	1674
504	2916	1669
505	2922	1663
506	2927	1657
507	2933	1651
508	2939	1645
509	2944	1639
510	2951	1634
511	2965	1633
512	2972	1627
513	2977	1622
514	2983	1616
515	2989	1610
516	2995	1604
517	3000	1598
518	3006	1593
519	3012	1587
520	3018	1581
521	3024	1575
522	3030	1570
523	3035	1564
524	3041	1558
525	3046	1552
526	3052	1546
527	3058	1540
528	3064	1534
529	3069	1528
530	3074	1522
531	3079	1516
532	3085	1510
533	3090	1504
534	3096	1499
535	3102	1493
536	3108	1487
537	3114	1481
538	3119	1475
539	3125	1470
540	3131	1464
541	3137	1458
542	3142	1452
543	3148	1446
544	3153	1440
545	3159	1434
546	3164	1429
547	3170	1423
548	3175	1417
549	3181	1411
550	3186	1405
551	3191	1399
552	3197	1393
553	3203	1387
554	3209	1382
555	3215	1376
556	3221	1370
557	3226	1364
558	3232	1358
559	3238	1353
560	3244	1347
